favorite,underdog,spread,outcome,fave.name,underdog.name,week
25,19,9,6,CLE,HOU,9
17,38,2.5,-21,CHI,DET,9
31,41,3.5,-10,MIN,PHX,9
17,12,10.5,5,PIT,TB,9
21,22,5,-1,PHA,IND,9
30,14,3,16,MIA,LAN,9
38,20,7,18,DAL,NYG,9
34,14,1,20,CIN,GB,9
27,24,2.5,3,DEN,KC,9
21,34,7,-13,LAA,SEA,9
27,24,4.5,3,WAS,SD,9
17,20,2,-3,SF,MIA,10
28,20,3.5,8,LAA,KC,10
27,10,1,17,NO,ATL,10
26,3,5,23,PIT,SD,10
35,21,2,14,GB,CLE,10
21,7,0,14,NE,BUF,10
27,20,6.5,7,DAL,PHA,10
55,14,4,41,CIN,HOU,10
12,17,7,-5,MIN,TB,10
21,14,7,7,LAN,CHI,10
27,19,3,8,SEA,DEN,10
45,7,10,38,WAS,PHX,10
14,17,6.5,-3,NYJ,IND,10
16,9,5,7,DET,NYG,10
15,20,2.5,-5,CIN,KC,11
17,27,6.5,-10,DET,HOU,11
17,14,1,3,CHI,PHA,11
21,29,2.5,-8,MIN,GB,11
28,33,3,-5,SEA,PHX,11
20,0,4,20,CLE,TB,11
6,17,3,-11,MIA,NE,11
17,24,3.5,-7,NYJ,BUF,11
24,13,3.5,11,PIT,IND,11
27,0,4,27,SF,NO,11
22,20,7,2,LAA,DEN,11
33,17,8,16,WAS,NYG,11
23,24,9,-1,DAL,SD,11
13,36,1.5,-23,ATL,LAN,11
37,0,9,37,MIA,IND,12
27,0,1,27,CHI,TB,12
0,30,5,-30,NE,CLE,12
20,23,4,-3,GB,DET,12
38,10,9,28,CIN,HOU,12
27,24,2.5,3,LAA,BUF,12
14,17,7,-3,PIT,MIN,12
0,23,5.5,-23,PHA,NYG,12
44,14,0,30,PHX,SD,12
41,21,9,20,DAL,KC,12
24,28,3.5,-4,SF,ATL,12
38,27,1.5,11,DEN,SEA,12
42,20,3,22,WAS,LAN,12
28,31,3,-3,NO,NYJ,12
3,45,5.5,-42,PIT,DET,13
35,17,10,18,DAL,PHX,13
3,13,5,-10,SF,CHI,13
27,12,9.5,15,LAA,NYG,13
33,24,2,9,TB,HOU,13
26,3,3,23,NYJ,NE,13
41,23,6,18,CLE,IND,13
17,16,2.5,1,NO,MIN,13
28,24,15,4,WAS,PHA,13
47,41,2.5,6,ATL,GB,13
31,7,2.5,24,SD,DEN,13
41,17,4,24,LAN,BUF,13
51,48,3.5,3,SEA,KC,13
38,14,5.5,24,MIA,CIN,13
42,10,1.5,32,LAA,SD,14
35,21,10,14,SF,TB,14
9,13,4.5,-4,LAN,PHA,14
37,21,9.5,16,WAS,ATL,14
0,7,1,-7,NO,NE,14
10,6,0,4,PHX,NYG,14
10,23,4,-13,PIT,CIN,14
24,17,9,7,MIA,HOU,14
9,14,1,-5,KC,BUF,14
31,28,2.5,3,GB,CHI,14
10,6,4,4,NYJ,IND,14
6,27,1.5,-21,CLE,DEN,14
35,10,6,25,DAL,SEA,14
13,2,3,11,DET,MIN,14
7,34,2.5,-27,NYJ,PIT,15
31,24,8,7,MIA,ATL,15
23,10,2,13,SF,BUF,15
24,34,9,-10,LAA,PHX,15
13,19,2,-6,MIN,CHI,15
27,34,6.5,-7,CLE,HOU,15
17,9,3,8,CIN,DET,15
17,20,1,-3,PHA,NO,15
17,12,3,5,SEA,NYG,15
10,31,2.5,-21,DAL,WAS,15
7,21,6.5,-14,LAN,NE,15
41,38,4,3,SD,KC,15
21,19,8.5,2,DEN,IND,15
12,9,4,3,GB,TB,15
34,14,8,20,MIA,NYJ,16
31,22,15.5,9,WAS,NYG,16
14,20,3,-6,CIN,MIN,16
17,48,0,-31,DEN,KC,16
23,21,2.5,2,CHI,GB,16
24,26,3,-2,NO,LAN,16
31,7,6,24,PHX,PHA,16
30,17,3,13,CLE,PIT,16
31,14,2.5,17,ATL,BUF,16
20,10,4.5,10,IND,HOU,16
30,14,8.5,16,LAA,SD,16
24,6,3,18,SEA,NE,16
23,20,9,3,DET,TB,16
42,17,1,25,SF,DAL,16
28,27,2,1,NYG,PHA,1
23,14,2,9,NYJ,IND,1
28,36,6,-8,NO,ATL,1
17,35,4.5,-18,WAS,MIA,1
42,13,3,29,SD,MIN,1
27,37,6.5,-10,PIT,KC,1
30,27,2,3,SF,DET,1
34,14,6,20,CHI,TB,1
24,23,3,1,GB,PHX,1
21,17,3,4,NE,BUF,1
20,17,1,3,DEN,CIN,1
24,14,6,10,LAA,HOU,1
33,0,4.5,33,SEA,CLE,1
13,20,2,-7,LAN,DAL,1
17,23,0,-6,NYJ,PIT,2
7,28,5,-21,DAL,NYG,2
27,0,5,27,CHI,DEN,2
37,7,7,30,PHX,BUF,2
24,27,3,-3,ATL,DET,2
28,7,6,21,MIA,NE,2
19,17,4.5,2,PHA,MIN,2
22,27,4.5,-5,CIN,KC,2
17,13,7,4,NO,TB,2
31,17,2,14,SEA,SD,2
20,17,6,3,LAN,CLE,2
28,7,7,21,LAA,GB,2
21,35,6,-14,HOU,IND,2
37,31,2.5,6,SF,WAS,2
30,14,6,16,WAS,NYG,3
23,43,3,-20,CIN,NYJ,3
38,23,3,15,NE,SEA,3
34,33,5.5,1,PHX,IND,3
20,27,2,-7,ATL,MIN,3
7,9,1.5,-2,GB,CHI,3
22,20,4,2,LAA,KC,3
23,17,8,6,DAL,PHA,3
30,20,5.5,10,SF,NO,3
24,14,3.5,10,PIT,LAN,3
17,21,3.5,-4,DET,TB,3
31,14,10.5,17,SD,HOU,3
14,24,4.5,-10,CLE,DEN,3
21,17,8.5,4,MIA,BUF,3
21,9,4,12,SF,PHA,4
14,24,6,-10,CIN,LAN,4
28,26,1.5,2,NYJ,BUF,4
28,29,6,-1,DET,MIN,4
42,10,9,32,ATL,HOU,4
10,20,2.5,-10,PIT,CLE,4
26,10,1,16,WAS,NE,4
34,24,1,10,NO,PHX,4
21,0,0,21,DEN,KC,4
44,7,11,37,MIA,IND,4
17,14,6,3,NYG,TB,4
20,6,6.5,14,DAL,GB,4
38,9,4,29,SEA,CHI,4
33,30,5.5,3,LAA,SD,4
14,5,5.5,9,SF,ATL,5
31,17,3,14,IND,BUF,5
10,6,5,4,KC,CLE,5
23,14,2.5,9,DAL,CHI,5
36,28,4,8,MIA,PHX,5
21,28,1,-7,NYJ,NE,5
20,12,2,8,SEA,MIN,5
27,24,5,3,SD,DET,5
30,27,3,3,TB,GB,5
13,16,4,-3,LAA,DEN,5
27,10,5.5,17,NO,HOU,5
33,12,3,21,LAN,NYG,5
20,0,9.5,20,WAS,PHA,5
38,17,5.5,21,PIT,CIN,5
35,31,3,4,TB,MIN,6
20,7,3,13,CHI,NO,6
16,17,5,-1,KC,NYJ,6
20,31,6.5,-11,DAL,PHX,6
17,27,1,-10,BUF,PHA,6
7,28,3,-21,DET,DEN,6
31,7,5,24,MIA,PIT,6
17,16,2.5,1,NE,CLE,6
35,7,7.5,28,WAS,IND,6
34,28,3,6,SD,GB,6
13,3,7,10,CIN,HOU,6
28,30,3,-2,LAN,ATL,6
28,14,5,14,LAA,SEA,6
31,10,3.5,21,SF,NYG,6
28,10,17,18,MIA,HOU,7
10,28,3.5,-18,NO,LAN,7
20,24,1,-4,CLE,NYJ,7
16,7,6,9,PHA,IND,7
13,31,2.5,-18,SD,KC,7
38,21,3,17,PHX,CHI,7
13,7,3.5,6,DET,TB,7
7,19,5,-12,ATL,NYG,7
20,14,7.5,6,NE,CIN,7
23,20,10,3,LAA,MIN,7
17,20,9,-3,SF,PIT,7
31,28,11,3,SEA,BUF,7
34,14,5.5,20,WAS,DAL,7
17,14,6.5,3,DEN,GB,7
12,9,3,3,CIN,CLE,8
37,7,3,30,DEN,BUF,8
44,24,4,20,MIA,NE,8
9,44,1,-35,TB,CHI,8
14,16,2,-2,MIN,DET,8
24,26,3.5,-2,WAS,PHX,8
10,24,0,-14,NYG,PHA,8
30,24,1,6,SEA,GB,8
16,17,4.5,-1,PIT,IND,8
28,7,2,21,NYJ,KC,8
44,37,3,7,LAA,SD,8
34,21,10,13,SF,HOU,8
30,27,6,3,DAL,NO,8
10,24,1,-14,ATL,LAN,8
31,13,4,18,CIN,HOU,9
22,3,10,19,DAL,IND,9
30,20,3,10,NE,NYJ,9
24,20,6,4,KC,TB,9
14,16,1.5,-2,CLE,NO,9
16,7,7,9,CHI,MIN,9
34,14,3.5,20,PHX,PHA,9
41,9,2.5,32,GB,DET,9
19,22,6,-3,LAA,DEN,9
35,10,3,25,PIT,ATL,9
33,0,3.5,33,SF,LAN,9
13,37,6,-24,WAS,NYG,9
38,7,18,31,MIA,BUF,9
24,0,0,24,SEA,SD,9
35,7,13.5,28,PIT,HOU,10
13,23,2,-10,NO,GB,10
7,19,7,-12,DAL,NYG,10
23,23,3,0,DET,PHA,10
6,17,2,-11,LAA,CHI,10
38,10,4.5,28,SD,IND,10
13,10,1.5,3,CLE,BUF,10
27,24,2,3,MIN,TB,10
45,0,5.5,45,SEA,KC,10
13,16,6,-3,PHX,LAN,10
26,19,5,7,DEN,NE,10
31,17,7,14,MIA,NYJ,10
23,17,10,6,SF,CIN,10
27,14,10.5,13,WAS,ATL,10
38,10,13.5,28,NE,BUF,11
5,9,9,-4,NYJ,IND,11
28,14,10,14,WAS,DET,11
16,17,13.5,-1,KC,HOU,11
45,17,6.5,28,GB,MIN,11
13,17,1,-4,ATL,NO,11
24,23,15,1,MIA,PHA,11
20,22,1,-2,PIT,CIN,11
41,7,6.5,34,SF,CLE,11
17,24,4.5,-7,PHX,DAL,11
29,13,3,16,LAN,CHI,11
16,13,0,3,DEN,SD,11
17,20,3,-3,NYG,TB,11
17,14,3.5,3,SEA,LAA,11
24,17,12,7,SF,TB,12
50,17,7,33,NE,IND,12
31,6,3,25,GB,LAN,12
3,14,9.5,-11,DAL,BUF,12
7,23,3,-16,ATL,CLE,12
10,16,1,-6,PHX,NYG,12
26,6,4,20,SEA,CIN,12
10,16,7,-6,WAS,PHA,12
16,14,7,2,CHI,DET,12
42,21,9.5,21,DEN,MIN,12
20,31,4.5,-11,NYJ,HOU,12
28,34,7.5,-6,MIA,SD,12
17,7,9.5,10,LAA,KC,12
27,24,1,3,NO,PIT,12
28,31,4,-3,GB,DET,13
20,17,2,3,DAL,NE,13
35,14,6.5,21,CIN,ATL,13
41,14,13.5,27,WAS,BUF,13
27,10,6.5,17,CLE,HOU,13
28,27,7,1,NYG,KC,13
34,33,3,1,LAN,TB,13
17,16,4.5,1,PHX,PHA,13
52,24,2.5,28,PIT,SD,13
34,3,4,31,CHI,MIN,13
21,7,14.5,14,LAA,IND,13
35,3,7.5,32,SF,NO,13
24,27,2.5,-3,DEN,SEA,13
28,17,14,11,MIA,NYJ,13
31,17,10,14,WAS,MIN,14
35,17,13,18,SF,ATL,14
17,20,0,-3,CLE,CIN,14
21,15,3,6,BUF,IND,14
20,10,3.5,10,NYG,NYJ,14
20,23,7,-3,PIT,HOU,14
26,10,4,16,DAL,PHA,14
27,14,6,13,GB,TB,14
13,16,4.5,-3,DEN,KC,14
10,33,4.5,-23,NE,PHX,14
38,17,11,21,SEA,DET,14
34,45,3.5,-11,MIA,LAA,14
34,21,7,13,LAN,NO,14
20,7,1,13,SD,CHI,14
21,17,7,4,NYJ,BUF,15
51,7,16.5,44,SF,MIN,15
23,20,7,3,PIT,CLE,15
23,6,7.5,17,TB,ATL,15
35,17,14,18,MIA,IND,15
24,21,2.5,3,CIN,NO,15
31,21,4,10,PHX,NYG,15
20,14,0,6,GB,CHI,15
7,34,4.5,-27,SEA,KC,15
17,27,3,-10,NE,PHA,15
27,16,11.5,11,LAN,HOU,15
30,28,1,2,WAS,DAL,15
16,13,7,3,DEN,SD,15
24,3,7,21,LAA,DET,15
19,16,6.5,3,SF,LAN,16
3,10,9,-7,NYG,NO,16
14,31,4,-17,SEA,DEN,16
41,21,4,20,TB,NYJ,16
16,10,10,6,NE,IND,16
20,27,2,-7,HOU,CLE,16
29,27,6.5,2,WAS,PHX,16
38,14,7.5,24,GB,MIN,16
52,21,13.5,31,CIN,BUF,16
13,30,0,-17,DET,CHI,16
21,42,2.5,-21,SD,KC,16
10,26,3,-16,PHA,ATL,16
7,13,6,-6,LAA,PIT,16
28,21,6.5,7,MIA,DAL,16
21,0,6.5,21,NYG,PHA,1
31,0,9,31,LAA,NYJ,1
23,26,7.5,-3,MIA,HOU,1
27,24,2.5,3,PHX,CLE,1
21,28,11,-7,SF,MIN,1
27,28,3,-1,ATL,DET,1
28,24,3,4,SEA,CIN,1
47,27,0,20,KC,NO,1
26,20,5,6,NE,GB,1
38,28,7,10,CHI,TB,1
45,3,10,42,PIT,IND,1
14,9,5,5,SD,BUF,1
20,16,1,4,LAN,DEN,1
44,14,1,30,DAL,WAS,1
20,36,2,-16,LAA,KC,2
17,6,4.5,11,LAN,PHA,2
21,26,5,-5,DAL,DET,2
16,13,10,3,WAS,HOU,2
20,7,4.5,13,CHI,NE,2
41,27,4,14,PHX,CIN,2
42,3,3.5,39,NYJ,BUF,2
30,13,17,17,MIA,IND,2
35,16,14,19,SF,ATL,2
16,31,3,-15,TB,MIN,2
23,20,1,3,GB,NYG,2
34,23,10,11,DEN,NO,2
49,35,3.5,14,SEA,SD,2
7,17,2,-10,PIT,CLE,2
33,24,3.5,9,CHI,MIN,3
6,14,5,-8,DET,IND,3
17,14,6,3,NE,BUF,3
6,19,14.5,-13,WAS,PHA,3
27,17,2,10,NYG,PHX,3
44,28,6,16,DEN,ATL,3
41,44,4,-3,CIN,SD,3
20,0,5.5,20,PIT,HOU,3
20,7,7,13,DAL,CLE,3
20,13,2.5,7,NO,TB,3
31,0,4,31,MIA,KC,3
3,24,5.5,-21,GB,NYJ,3
34,10,3,24,SF,LAA,3
24,35,7,-11,SEA,LAN,3
16,10,4.5,6,NYG,PHA,4
45,10,6,35,CHI,WAS,4
43,28,7,15,PHX,GB,4
20,35,1.5,-15,NE,LAA,4
30,9,5,21,DET,TB,4
17,10,5,7,DAL,HOU,4
27,20,3,7,MIN,BUF,4
7,28,2.5,-21,SEA,KC,4
30,26,1,4,MIA,DEN,4
25,20,10,5,NYJ,IND,4
7,21,4.5,-14,SD,CLE,4
17,6,10,11,LAN,ATL,4
17,20,15.5,-3,SF,NO,4
24,37,6.5,-13,PIT,CIN,4
49,17,3.5,32,IND,BUF,5
24,20,7.5,4,MIA,PIT,5
43,10,3.5,33,GB,DET,5
24,20,3.5,4,CLE,NE,5
23,21,3.5,2,NO,PHA,5
38,17,11.5,21,SF,ATL,5
27,19,8.5,8,CHI,TB,5
19,10,2,9,LAA,KC,5
31,20,8.5,11,DEN,HOU,5
20,29,3,-9,CIN,NYJ,5
26,21,13.5,5,SEA,SD,5
13,10,6.5,3,LAN,MIN,5
29,30,1,-1,NYG,DAL,5
10,27,1.5,-17,PHX,WAS,5
15,10,5.5,5,DEN,IND,6
14,3,10,11,NE,BUF,6
7,30,4,-23,PHX,PHA,6
31,27,6.5,4,LAN,TB,6
27,13,6,14,DAL,PIT,6
24,3,9.5,21,WAS,DET,6
30,35,1,-5,NYG,CIN,6
21,6,2.5,15,CLE,HOU,6
20,17,3.5,3,GB,MIN,6
30,26,14,4,SEA,ATL,6
